FIRST NAME,LAST NAME,AGE,HEIGHT,WEIGHT
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
David,Sasaki,38,170,60
Thomas,Anderson,36,176,69
Dustin,Lee,35,173,78
